n,tiempo[ms]
1,0
101,6
201,31.5
301,73.8
401,134.6
501,219.2
601,320.7
701,449.7
801,569.7
901,727.1
1001,906.5
1101,1098.1
1201,1306.3
1301,1553.8
1401,1795.9
1501,2071.5
1601,2350.4
1701,2671.3
1801,2987.8
1901,3328.6
2001,3688.3
2101,4754.3
2201,4478
2301,4885.1
2401,5353.4
2501,5777.2
2601,6257.2
2701,6747.1
2801,7262.8
2901,7847
3001,8430.5
3101,8902.2
3201,9497.2
3301,10211.4
3401,10911.1
3501,11411.1
3601,12077.7
3701,12713.2
3801,13417.7
3901,14132.6
4001,14857.8
4101,15624
4201,16394
4301,17211.1
4401,17983.9
4501,18830.3
4601,19661.1
4701,20541.1
4801,21449.7
4901,22344.8
5001,23268.8
5101,24199.3
5201,25186.7
5301,26147.8
5401,27137.6
5501,28154.6
5601,29212.5
5701,30344.6
5801,31479.1
5901,33750.1
6001,33539.4
6101,34672.9
6201,35830.7
6301,36982.8
6401,38172.3
6501,39366.8
6601,40590.9
6701,41873.5
6801,43091.1
6901,44394.1
7001,45769.3
7101,47006
7201,48358
7301,49707.7
7401,51103.5
7501,52483.2
7601,53913
7701,55401.5
7801,57001.1
7901,58245.8
8001,59798.3
8101,61264.2
8201,62737.7
8301,64298.7
8401,66884.4
8501,68327.5
8601,69042.3
8701,70770.5
8801,72341.8
8901,73955.5
9001,75646
9101,77314
9201,79046.2
9301,80813.9
9401,82670.4
9501,84268.1
9601,86134.1
9701,87892.4
9801,89758.1
9901,91521.1
